Athlete ID,Athlete Name,Position,Maximum Velocity,Total Distance,HMLD (Gen 2),High Speed Distance,Very High Speed Distance,Acceleration Bands 1-3 Efforts,Deceleration Bands 1-3 Efforts
0117e8f9-47b9-4d7e-8a43-045e5ee8f0a1,"Albert-Jones, Laishon",Second Row,,,,,,,
24c1280f-f9a1-4462-9523-10069b434663,"Atai, Kaiyah",Second Row,,,,,,,
5db39c71-f1bd-4c29-9a3c-761b09c1591e,"Baker, Shakira",Second Row,,,,,,,
2f6a906d-ade3-4b2d-857f-fc613d9d4f8e,"Brake, Michaela",Wing,,,,,,,
c970c36f-275d-4eb7-be58-7465d9171fe6,"Butler, Harata",Prop,,,,,,,
867a91e5-36d3-4bed-b8c9-26e2a37cbb0f,"Carmont, Avery-Rose",Hooker,,,,,,,
942eb91e-5d3d-43bf-8473-65c157540704,"Curtain, Emily",Half Back,,,,,,,
ea5d1b94-f73b-4181-bf5b-cde593170ebf,"Eli, Makayla",Second Row,,,,,,,
249b02ec-a7a8-4338-9ee3-af9b0d72981e,"Fotu-Moala, Metanoia",Prop,,,,,,,
844f5560-3c5f-49c7-8a0f-ad4a8844c848,"Gray, Danii",Hooker,,,,,,,
a1501cdf-55a3-4747-8ef4-a45bda72036c,"Gray, Matekino",Second Row,,,,,,,
b3df5fdf-08e8-4008-b0b2-aecb651ac349,"Hill-Moana, Mya",Prop,,,,,,,
11e45d8d-1bf4-4369-8fd0-369c4505a255,"Ikenasio, Tysha",Centre,,,,,,,
8ecbe125-d4b8-4091-ad6a-a41b77997f2b,"Kia, Felila",Second Row,,,,,,,
7b664ebe-ebee-4760-bea8-001d52a2147e,"Kitai, Lavinia",Prop,,,,,,,
71304e4a-5f1b-45d0-9d2e-ceecc0ee72cc,"Lauitiiti, Ivana",Prop,,,,,,,
07d7a479-617b-4f21-8d2f-9e8397a61a49,"Maliepo, Patricia",Five-Eighth,,,,,,,
7ca10bba-3dad-4ab5-a4ad-ccc047be3e74,"Matapo, Ashlee",Second Row,,,,,,,
c76f203d-e146-425d-99cc-6a12c3eb9127,"Nicholls, Apii",Full Back,,,,,,,
9e956da7-c5f0-4f95-96dc-379fbf8c58aa,"Paekau, Capri",Hooker,,,,,,,
170beb89-7ffb-42ea-94e5-fdc786d987ac,"Paki, Emmanita",Centre,,,,,,,
6a1588cb-7428-4131-a3aa-72039856a73c,"Pickering, Paris",Centre,,,,,,,
9021b2cf-0bba-4da2-b193-001c2ae306d3,"Pihema, Sharnyze",Lock,,,,,,,
5c5f65cb-7708-4bcb-bc95-153bd5d397f5,"Puketapu, Maarire",Second Row,,,,,,,
f51303d1-7d6f-4fe7-b8cd-a49940b20319,"Takimoana, Payton",Wing,,,,,,,
71d3fb53-091f-48cd-94bd-d5f12497ed92,"Takitimu-Cook, Kalyn",Wing,,,,,,,
658841ec-7306-483b-8bf5-f3181852d72f,"Tauhalaliku, Lavinia",Wing,,,,,,,
b1333493-8f91-42d2-a7b7-94a67745d43d,"Taumoepeau-Williams, Asha",Centre,,,,,,,
6f7c3e3a-4f02-40e6-a355-5c9e043b9b1e,"Turua-Quedley, Lydia",Half Back,,,,,,,
897b07e3-d2a9-4192-b091-725e7e8e93e7,"Wetere, Tyra",Half Back,,,,,,,
